"Round","Chiara","Mona"
1,2,3
2,3,1
3,2,3
4,3,2
5,1,2
6,3,1
7,2,2
8,3,3
9,2,3
10,3,3
11,2,1
12,3,3
13,2,2
14,3,3
15,2,2
16,1,3
17,3,1
18,2,2
19,3,3
20,2,3
21,1,3
22,3,2
23,1,1
24,2,2
25,3,1
26,2,3
27,1,2
28,3,3
29,2,3
30,2,2
31,2,1
32,3,3
33,1,2
34,1,1
35,1,3
36,3,3
37,3,2
38,2,2
39,2,2
40,3,1
41,2,2
42,2,3
43,3,2
44,1,3
45,1,1
46,3,3
47,2,2
48,2,1
49,3,1
50,2,3
51,2,1
52,3,3
53,3,2
54,2,3
55,2,1
56,2,1
57,3,3
58,1,1
59,1,3
60,2,2
61,1,2
62,3,3
63,1,1
64,2,2
65,3,3
66,1,1
67,2,3
68,3,1
69,3,2
70,1,3
71,1,1
72,2,3
73,3,3
74,2,2
75,3,3
76,2,1
77,2,1
78,2,3
79,3,3
80,2,2
81,2,3
82,1,2
83,1,3
84,2,2
85,1,3
86,3,1
87,2,2
88,2,3
89,2,1
90,3,1
91,3,3
92,3,2
93,2,2
94,2,1
95,3,3
96,1,2
97,3,2
98,2,3
99,2,3
100,1,3
101,3,3
102,2,2
103,1,3
104,1,1
105,2,2
106,3,3
107,2,1
108,2,2
109,3,2
110,3,3
111,1,2
112,3,2
113,3,1
114,2,1
115,3,2
116,3,3
117,2,3
118,2,3
119,2,3
120,2,1
121,2,3
122,1,3
123,1,1
124,1,2
125,3,2
126,2,3
127,2,3
128,2,1
129,3,3
130,2,2
131,3,1
132,1,1
133,1,3
134,1,2
135,1,2
136,3,3
137,2,3
138,2,3
139,3,1
140,3,2
141,3,3
142,3,3
143,2,2
144,1,1
145,3,2
146,3,3
147,1,3
148,1,2
149,3,3
150,1,2
151,1,3
152,2,2
153,2,1
154,2,3
155,2,3
156,1,3
157,3,2
158,1,2
159,1,3
160,2,2
161,2,3
162,2,1
163,3,3
164,1,2
165,1,3
166,1,1
167,3,2
168,1,3
169,1,3
170,3,2
171,1,1
172,3,2
173,1,1
174,3,3
175,3,2
176,1,2
177,3,1
178,2,1
179,3,3
180,3,2
181,2,3
182,3,1
183,2,3
184,2,3
185,3,3
186,2,2
187,2,1
188,3,3
189,1,2
190,1,1
191,3,2
192,1,3
193,3,2
194,1,1
195,2,3
196,3,3
197,1,2
198,3,2
199,1,1
200,3,3
201,3,3
202,3,1
203,3,1
204,2,3
205,2,3
206,1,3
207,1,2
208,1,2
209,1,3
210,2,2
211,2,1
212,2,3
213,1,3
214,1,2
215,1,3
216,2,3
217,1,3
218,2,2
219,1,3
220,2,2
221,3,3
222,2,1
223,2,3
224,1,3
225,3,3
226,3,1
227,2,2
228,2,3
229,1,3
230,1,2
231,1,2
232,1,3
233,2,2
234,3,3
235,1,1
236,2,2
237,1,3
238,3,2
239,1,1
240,1,2
241,3,2
242,3,3
243,2,2
244,1,1
245,3,2
246,3,1
247,3,2
248,1,2
249,2,2
250,3,2
